headline,political,inflammatory,sentiment,bias
Healthy soup recipes that are cozy and comforting,non-political,neutral,positive,0
Carved into Turkey’s cliffs: Cities of the dead,non-political,inflammatory,negative,2
How music is medicine for these Alzheimer’s patients and their loved ones,non-political,neutral,positive,0
Yankees’ Rumored Offer to Soto Before Record Mets Deal,political,inflammatory,positive,1
Taylor Swift,non-political,inflammatory,positive,1
Syrian rebel leader’s victory speech holds a message for Iran – and for Trump and Israel too,political,inflammatory,positive,1
Alisyn Camerota says goodbye to viewers in final CNN broadcast,non-political,inflammatory,negative,2
What not to do when decorating a Christmas tree,non-political,inflammatory,negative,2
Pantone names its color of the year for 2025,non-political,neutral,positive,0
A health insurance CEO is dead. Not everyone is sad,political,inflammatory,negative,2
