headline,political,inflammatory,sentiment,bias
Philly man exonerated after serving 24 years for murder conviction has been convicted in separate killing,political,inflammatory,negative,2
'Warrior whose vote cannot be bought': Hundreds of vets pour out in support of Tulsi Gabbard for DNI,political,inflammatory,positive,1
Philly man exonerated after serving 24 years for murder conviction has been convicted in separate killing,political,inflammatory,negative,2
"Columbia group's antisemitic newspaper draws outrage from NY lawmaker, as university investigates",political,inflammatory,negative,2
"Video shows New Hampshire snowboarder trigger, escape avalanche on Mount Washington",non-political,inflammatory,positive,1
"The U.S. added 227,000 jobs in November, setting in motion potential Fed rate cuts in December",political,neutral,positive,0
Read it: Jay-Z sends blistering memo amid Diddy allegations,political,neutral,negative,1
8 great gifts for food and wine lovers this holiday season,non-political,neutral,positive,0
"Video shows snowboarder trigger, escape avalanche on Mount Washington",non-political,inflammatory,positive,1
NBC called out for 'selectively omitting key words' from Constitution in Trump interview,political,inflammatory,negative,2
